addr_state,Total_Loan_Amt,Avg_Risk,Avg_IntRate,Total_Loans
AK,90419900.0,0.2516895014811067,13.326289428407572,5231
AL,400699250.0,0.2566011090448031,13.567154009675999,27284
AR,240650500.0,0.2469267689106616,13.354703057280076,17074
AZ,780966125.0,0.23708636456900525,12.96290588913476,53777
CA,4808480100.0,0.2412420704447449,12.97652828161115,314533
CO,727724225.0,0.2423164251890492,12.887730734906503,48183
CT,547556950.0,0.24875283475191612,13.050378091379068,35785
DC,84707250.0,0.24370862281374575,12.578114264376401,5356
DE,96450975.0,0.25144160857480197,13.199143697739236,6458
FL,2333034500.0,0.2530005033146959,13.164734892679222,161991
GA,1136790825.0,0.2514569349454004,13.208650331554262,74196
HI,169562100.0,0.27963490730239815,13.786781964754404,10668
IA,114075.0,0.2920415676013402,12.631428571428572,14
ID,62088425.0,0.23737433920775125,13.295013927576601,4308
IL,1410451950.0,0.2504518650360961,12.960123611156813,91173
IN,550776675.0,0.25250467377121616,13.180944155671066,37515
KS,283877825.0,0.25044630734536844,12.995099691244963,19109
KY,313557625.0,0.2549565190478619,13.186525791565769,21887
LA,382046275.0,0.2591911780324774,13.224465623665516,25759
MA,811746725.0,0.24508220326914992,12.676826819094702,51784
MD,856883500.0,0.2564006897245265,13.23611390905051,54008
ME,73320525.0,0.23414567655442983,12.817557297949337,4974
MI,841646100.0,0.2563795666362328,13.1645940105496,58770
MN,577447675.0,0.2510042184877008,12.97056001214667,39517
MO,524098650.0,0.25034264076872026,13.049272253630418,36084
MS,186427150.0,0.263626389151837,13.4458137510879,12639
MT,88170825.0,0.2512260044133154,12.956177170979522,6299
NC,930436100.0,0.2557195544916106,13.188916626813327,62730
ND,55622875.0,0.2481311708204141,13.245795043163465,3591
NE,110941450.0,0.24265509056883136,13.179450057552115,7819
NH,166469500.0,0.24434350944261038,12.699506372285047,11142
NJ,1316207975.0,0.2539333645972508,12.989854328056586,83132
NM,178280525.0,0.2585153414482143,13.155975304521942,11986
NV,470165300.0,0.25393014983314294,13.205397005236245,32657
NY,2767160700.0,0.26044603577812586,13.260060143034192,186389
OH,1077142925.0,0.2549810963838548,13.137271601980514,75132
OK,310665375.0,0.2563883891555251,13.26329708568943,20691
OR,379466875.0,0.24903197415413558,12.954577998432192,26789
PA,1131987950.0,0.2581651587415991,13.14572544483292,76939
RI,142960100.0,0.25380415446697685,13.033194402798602,10005
SC,418481900.0,0.2576534907181268,13.266586794272042,28003
SD,64670375.0,0.2597641271723165,13.21509342712684,4549
TN,522342125.0,0.25649935572462584,13.287132147789082,35483
TX,2931133525.0,0.2004730638533569,12.999443797461561,186335
UT,227578525.0,0.2043906936560023,13.098307210031349,14993
VA,1013015875.0,0.2042115733880795,13.113696508561807,62954
VT,68206775.0,0.21821177876755016,12.986204172574437,4937
WA,721608300.0,0.1904275593511455,13.157429664258395,47060
WI,431766050.0,0.18396490249852898,12.849949124744787,29877
WV,125954800.0,0.19496726327510416,13.116532151838104,8351
WY,74153325.0,0.19086595262912376,13.210143218197135,4748
